"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6979","TC #2. Verify Explore docs","My Main Page application","Sun Dec 07 23:02:47 EET 2025","passed","Sun Dec 07 23:02:54 EET 2025","","","",""
"","4802","TC #17. Verify navigation to the Sign up page by using the sign up for free  button","My Main Page application","Sun Dec 07 23:03:38 EET 2025","passed","Sun Dec 07 23:03:43 EET 2025","","","",""
"","7380","TC #16. Verify Logo","My Main Page application","Sun Dec 07 23:03:31 EET 2025","passed","Sun Dec 07 23:03:38 EET 2025","","","",""
"","2200","TC #8. Verify navigation to Twitter","My Main Page application","Sun Dec 07 23:03:12 EET 2025","passed","Sun Dec 07 23:03:14 EET 2025","","","",""
"","2356","TC #14. Verify navigation to Google","My Main Page application","Sun Dec 07 23:03:26 EET 2025","passed","Sun Dec 07 23:03:29 EET 2025","","","",""
"","2284","TC #7. Verify navigation to Linkedin","My Main Page application","Sun Dec 07 23:03:10 EET 2025","passed","Sun Dec 07 23:03:12 EET 2025","","","",""
"","7106","TC #1. Verify Data Privacy","My Main Page application","Sun Dec 07 23:02:40 EET 2025","passed","Sun Dec 07 23:02:47 EET 2025","","","",""
"","2246","TC #4. Verify our join community","My Main Page application","Sun Dec 07 23:02:59 EET 2025","passed","Sun Dec 07 23:03:02 EET 2025","","","",""
"","2373","TC #13. Verify navigation to Perplexity","My Main Page application","Sun Dec 07 23:03:24 EET 2025","passed","Sun Dec 07 23:03:26 EET 2025","","","",""
"","7328","TC #1. Verify the Sign up flow , empty state","Sign Up Page application","Sun Dec 07 23:02:40 EET 2025","passed","Sun Dec 07 23:02:47 EET 2025","","","",""
"","4282","TC #6. Verify navigation to the Sign up page by using the Start building button","My Main Page application","Sun Dec 07 23:03:06 EET 2025","passed","Sun Dec 07 23:03:10 EET 2025","","","",""
"","2423","TC #10. Verify navigation to ChatGpt","My Main Page application","Sun Dec 07 23:03:17 EET 2025","passed","Sun Dec 07 23:03:19 EET 2025","","","",""
"","2191","TC #11. Verify navigation to Claude","My Main Page application","Sun Dec 07 23:03:19 EET 2025","passed","Sun Dec 07 23:03:22 EET 2025","","","",""
"","4494","TC #18. Verify Explore stories","My Main Page application","Sun Dec 07 23:03:43 EET 2025","passed","Sun Dec 07 23:03:48 EET 2025","","","",""
"","2405","TC #15. Verify navigation to xCome","My Main Page application","Sun Dec 07 23:03:29 EET 2025","passed","Sun Dec 07 23:03:31 EET 2025","","","",""
"","5439","TC #3. Verify Navigation to the Sign up page","My Main Page application","Sun Dec 07 23:02:54 EET 2025","passed","Sun Dec 07 23:02:59 EET 2025","","","",""
"","2288","TC #12. Verify navigation to Perplexity","My Main Page application","Sun Dec 07 23:03:22 EET 2025","passed","Sun Dec 07 23:03:24 EET 2025","","","",""
"","6018","TC #2. Verify the Sign up flow with invalid data","Sign Up Page application","Sun Dec 07 23:02:47 EET 2025","passed","Sun Dec 07 23:02:53 EET 2025","","","",""
"","2441","TC #9. Verify navigation to Facebook","My Main Page application","Sun Dec 07 23:03:14 EET 2025","passed","Sun Dec 07 23:03:17 EET 2025","","","",""
"","3971","TC #5. Verify navigation to Voice AI Agents","My Main Page application","Sun Dec 07 23:03:02 EET 2025","passed","Sun Dec 07 23:03:06 EET 2025","","","",""
